timestamp,scenario,preset,duration_s,dt_s,Q_alt,Q_speed,R_alt,R_speed,nees_avg,nees_max,n_points
2025-10-28 15:12:14,earth_engineout,Conservative,40.0,0.3076923076923077,10.0,0.2,25.0,0.25,0.42533172039248496,2.4679687636617476,130
2025-10-28 15:13:52,mars_uav,Nominal,40.0,0.21978021978021978,25.0,0.5,9.0,0.04,0.49284630436490445,3.540863128890132,182
2025-10-30 14:25:37,earth_engineout,Nominal,41.0,0.19902912621359223,25.0,0.5,9.0,0.04,0.5122320456691347,2.4072589547565033,206
2025-10-30 14:26:51,earth_engineout,Conservative,41.0,0.19902912621359223,10.0,0.2,25.0,0.25,0.4035653872559778,2.8210347243871325,206
2025-10-30 14:27:03,earth_engineout,Conservative,41.0,0.19902912621359223,10.0,0.2,25.0,0.25,0.35390545677607715,2.433292434464031,206
2025-10-30 14:40:14,mars_uav,Nominal,30.0,0.3191489361702128,25.0,0.5,9.0,0.04,0.5197744449391347,3.666664149812154,94
2025-10-30 14:51:46,earth_engineout,Nominal,60.0,0.19933554817275748,25.0,0.5,9.0,0.04,0.4945822597104624,3.211343187811788,301
2025-10-30 15:03:55,earth_engineout,Nominal,60.0,0.19933554817275748,25.0,0.5,9.0,0.04,0.5341642510313803,4.014594674989418,301
2025-10-30 15:16:36,earth_engineout,Nominal,69.0,0.05994787141615986,25.0,0.5,9.0,0.04,0.4881187381505514,3.8955888839539603,1151
